timestamp,instrument,direction,entry_price,entry_index
2025-05-08T08:40:09.271445,USD_JPY,bullish,145.109,98
2025-05-08T08:40:25.289225,EUR_USD,bearish,1.12742,98
2025-05-15T15:24:35.096397,USD_JPY,bearish,145.568,58,906
2025-05-15T15:44:37.521867,USD_JPY,bearish,145.618,58,906
2025-05-15T15:44:38.481075,USD_CAD,bearish,1.39604,58,906
2025-05-16T08:48:05.023633,USD_JPY,bullish,145.962,98,906
2025-05-16T08:48:05.758031,EUR_USD,bearish,1.11472,98,906
2025-05-16T08:48:06.476702,USD_CAD,bullish,1.39856,98,906
