entry_index,exit_index,instrument,direction,entry_price,exit_price,exit_reason,pnl_pips,confidence,mood
12486,12526,EUR_USD,bullish,1.14054,1.14133,Trailing Stop,7.9,0.8500000000000001,soaring
12548,12598,EUR_USD,bearish,1.14094,1.14023,Timeout Exit,7.1,0.8,plunging
12755,12805,EUR_USD,bearish,1.13945,1.13864,Timeout Exit,8.1,0.8,plunging
12807,12857,EUR_USD,bearish,1.13832,1.13852,Timeout Exit,-2.0,0.8,plunging
12869,12919,EUR_USD,bearish,1.13799,1.13925,Timeout Exit,-12.6,0.8,plunging
12920,12970,EUR_USD,bullish,1.13925,1.13814,Timeout Exit,-11.1,0.65,slipping from heights
12979,13029,EUR_USD,bullish,1.13858,1.14289,Timeout Exit,43.1,0.8500000000000001,soaring
13040,13090,EUR_USD,bullish,1.14257,1.14104,Timeout Exit,-15.3,0.8,soaring
13094,13144,EUR_USD,bearish,1.1397,1.13787,Timeout Exit,18.3,0.8,plunging
13153,13203,EUR_USD,bearish,1.13744,1.13031,Timeout Exit,71.3,0.65,climbing from valley
13204,13254,EUR_USD,bearish,1.13031,1.13097,Timeout Exit,-6.6,0.8,plunging
13430,13480,EUR_USD,bearish,1.13061,1.13213,Timeout Exit,-15.2,0.65,climbing from valley
13481,13531,EUR_USD,bullish,1.13213,1.13151,Timeout Exit,-6.2,0.8,soaring
13544,13594,EUR_USD,bullish,1.13253,1.13393,Timeout Exit,14.0,0.8500000000000001,soaring
13596,13646,EUR_USD,bullish,1.13364,1.12859,Timeout Exit,-50.5,0.8,soaring
13647,13672,EUR_USD,bearish,1.12859,1.12837,Trailing Stop,2.2,0.65,climbing from valley
13679,13729,EUR_USD,bearish,1.12739,1.12285,Timeout Exit,45.4,0.8,plunging
13736,13780,EUR_USD,bearish,1.12243,1.12041,Trailing Stop,20.2,0.65,climbing from valley
13783,13833,EUR_USD,bullish,1.12252,1.12049,Timeout Exit,-20.3,0.8500000000000001,soaring
13839,13889,EUR_USD,bearish,1.12023,1.12135,Timeout Exit,-11.2,0.8500000000000001,plunging
13891,13941,EUR_USD,bullish,1.1222,1.12222,Timeout Exit,0.2,0.75,soaring
14099,14149,EUR_USD,bearish,1.12171,1.12047,Timeout Exit,12.4,0.65,climbing from valley
14151,14201,EUR_USD,bearish,1.12054,1.1214,Timeout Exit,-8.6,0.65,climbing from valley
14209,14259,EUR_USD,bearish,1.12082,1.11581,Timeout Exit,50.1,0.8,plunging
14263,14313,EUR_USD,bearish,1.11575,1.11534,Timeout Exit,4.1,0.65,climbing from valley
14314,14364,EUR_USD,bullish,1.11534,1.11549,Timeout Exit,1.5,0.8500000000000001,soaring
14370,14420,EUR_USD,bullish,1.11635,1.11801,Timeout Exit,16.6,0.8,soaring
14433,14455,EUR_USD,bullish,1.118,1.11843,Trailing Stop,4.3,0.75,soaring
14467,14517,EUR_USD,bullish,1.11839,1.11931,Timeout Exit,9.2,0.8,soaring
14521,14571,EUR_USD,bearish,1.11807,1.11126,Timeout Exit,68.1,0.8,plunging
14572,14622,EUR_USD,bearish,1.11126,1.11116,Timeout Exit,1.0,0.8,plunging
14771,14821,EUR_USD,bullish,1.11143,1.11407,Timeout Exit,26.4,0.75,soaring
14822,14872,EUR_USD,bullish,1.11407,1.11424,Timeout Exit,1.7,0.65,slipping from heights
14873,14879,EUR_USD,bullish,1.11424,1.11476,Timeout Exit,5.2,0.75,soaring
